cod_fabrica,cod_venta,descripcion,precio
2343,BI6500BL,Vestido 100% Lino Made In Italy,45000
2343,BI6500RS,Vestido 100% Lino Made In Italy,45000
2343,BI6500TJ,Vestido 100% Lino Made In Italy,45000
2343,BI6500BD,Vestido 100% Lino Made In Italy,45000
2343,BI6500BG,Vestido 100% Lino Made In Italy,45000
2343,BI6500FG,Vestido 100% Lino Made In Italy,45000
2343,BI6500MG,Vestido 100% Lino Made In Italy,45000
2343,BI6500CL,Vestido 100% Lino Made In Italy,45000
2343,BI6500ZM,Vestido 100% Lino Made In Italy,45000
2343,BI6500NG,Vestido 100% Lino Made In Italy,45000
89040,BI6501BL,Camisa 100% Lino Made In Italy,40000
89040,BI6501RS,Camisa 100% Lino Made In Italy,40000
89040,BI6501TJ,Camisa 100% Lino Made In Italy,40000
89040,BI6501BD,Camisa 100% Lino Made In Italy,40000
89040,BI6501BG,Camisa 100% Lino Made In Italy,40000
89040,BI6501FG,Camisa 100% Lino Made In Italy,40000
89040,BI6501MG,Camisa 100% Lino Made In Italy,40000
89040,BI6501CL,Camisa 100% Lino Made In Italy,40000
89040,BI6501ZM,Camisa 100% Lino Made In Italy,40000
89040,BI6501NG,Camisa 100% Lino Made In Italy,40000
9103,BI6502BG,Jersey 50% Cotone 50% Acrilico Made In Italy,32000
9103,BI6502CC,Jersey 50% Cotone 50% Acrilico Made In Italy,32000
9103,BI6502FG,Jersey 50% Cotone 50% Acrilico Made In Italy,32000
9103,BI6502MG,Jersey 50% Cotone 50% Acrilico Made In Italy,32000
9103,BI6502ZM,Jersey 50% Cotone 50% Acrilico Made In Italy,32000
9125,BI6503,Jersey 50% Cotone 50% Acrilico Made In Italy,30000
9125,BI6503BG,Jersey 50% Cotone 50% Acrilico Made In Italy,30000
9125,BI6503CC,Jersey 50% Cotone 50% Acrilico Made In Italy,30000
9125,BI6503FG,Jersey 50% Cotone 50% Acrilico Made In Italy,30000
9125,BI6503MG,Jersey 50% Cotone 50% Acrilico Made In Italy,30000
9125,BI6503ZM,Jersey 50% Cotone 50% Acrilico Made In Italy,30000
41810,BI6504BL,Camisa 100% Lino Made In Italy,42000
41810,BI6504RS,Camisa 100% Lino Made In Italy,42000
41810,BI6504TJ,Camisa 100% Lino Made In Italy,42000
41810,BI6504BD,Camisa 100% Lino Made In Italy,42000
41810,BI6504BG,Camisa 100% Lino Made In Italy,42000
41810,BI6504FG,Camisa 100% Lino Made In Italy,42000
41810,BI6504MG,Camisa 100% Lino Made In Italy,42000
41810,BI6504CL,Camisa 100% Lino Made In Italy,42000
41810,BI6504ZM,Camisa 100% Lino Made In Italy,42000
41810,BI6504NG,Camisa 100% Lino Made In Italy,42000
21897,BI6505BL,Short 100% Lino Made In Italy,32000
21897,BI6505RS,Short 100% Lino Made In Italy,32000
21897,BI6505TJ,Short 100% Lino Made In Italy,32000
21897,BI6505BD,Short 100% Lino Made In Italy,32000
21897,BI6505BG,Short 100% Lino Made In Italy,32000
21897,BI6505FG,Short 100% Lino Made In Italy,32000
21897,BI6505MG,Short 100% Lino Made In Italy,32000
21897,BI6505CL,Short 100% Lino Made In Italy,32000
