timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-14 16:02:45;A01-Vivo Los Trapenses-Gina;10035;BI6567CL;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
2025-10-14 16:02:55;A01-Vivo Los Trapenses-Gina;10040;BI6568BL;Short Bolsillo Laterales Pretina 100%Lino Made In Italy;32000
2025-10-14 16:03:02;A01-Vivo Los Trapenses-Gina;10749;BI6569RS;Blusa Camisera Bolsillo Parche 100%Lino Made In Italy;42000
2025-10-14 16:03:19;A01-Vivo Los Trapenses-Gina;7801;BI6570TJ;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-10-14 16:03:34;A01-Vivo Los Trapenses-Gina;10131;BI6571BG;Blusa Camisera 100% Lino Made In Italy;38000
2025-10-14 16:03:48;A01-Vivo Los Trapenses-Gina;10098;BI6572FG;Blusa Sin Mangas Botones Delante 100% Lino Made In Italy;30000
2025-10-14 16:04:29;A01-Vivo Los Trapenses-Gina;8057;BI6573MG;Blusa Con Vuelos Sin Manga 100%Lino Made In Italy;30000
2025-10-14 16:04:49;A01-Vivo Los Trapenses-Gina;2648;BI6574CL;Vestido Camisero Largo 100% Lino Made In Italy;53000
2025-10-14 16:05:00;A01-Vivo Los Trapenses-Gina;10350;BI6575ZM;Blusa Escote V Botones Delantera 100% Lino Made In Italy;38000
2025-10-14 16:05:13;A01-Vivo Los Trapenses-Gina;12393;BI6576NG;Blusa Cuello Bobo Botones Delantera Sin Mangas 100% Lino Made In Italy;30000
2025-10-14 16:05:27;A01-Vivo Los Trapenses-Gina;8451;BI6577BD;Vestido  Largo Escote V Manga Corta 100% Lino Made In Italy;50000
