timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-13 15:54:45;A01-Vivo Los Trapenses-Paz;5030;BI6523CL;Camiseta 100% Lino Made In Italy;32000
2025-10-13 15:55:02;A01-Vivo Los Trapenses-Paz;25755;BI6524ZM;Vestido 100% Lino Made In Italy;52000
2025-10-13 16:01:35;A01-Vivo Los Trapenses-Paz;100280;BI6543CL;Vestido Cuello Ancho Redondo Mangas 3/4 100% Lino Made In Italy;52000
2025-10-13 16:01:57;A01-Vivo Los Trapenses-Paz;106603;BI6578ZM;Blusa Elasticada Vuelo En Mangas Y Escote 100% Lino Made In Italy;32000
2025-10-13 16:02:14;A01-Vivo Los Trapenses-Paz;1374;BI6595NG;Chaleco 55% Lino 45% Cotone Made In Italy;32000
2025-10-13 16:03:34;A01-Vivo Los Trapenses-Paz;9430;BI6521FG;Pantalon 100% Lino Made In Italy;42000
2025-10-13 16:23:07;A01-Vivo Los Trapenses-Paz;8511;BI6513CL;Pantalon 100% Lino Made In Italy;42000
2025-10-13 16:23:30;A01-Vivo Los Trapenses-Paz;89040;BI6501CL;Camisa 100% Lino Made In Italy;40000
2025-10-13 16:23:57;A01-Vivo Los Trapenses-Paz;9103;BI6502BG;Jersey 50% Cotone 50% Acrilico Made In Italy;32000
2025-10-13 16:24:05;A01-Vivo Los Trapenses-Paz;9125;BI6503BG;Jersey 50% Cotone 50% Acrilico Made In Italy;30000
2025-10-13 16:24:45;A01-Vivo Los Trapenses-Paz;10035;BI6567CL;Vestido Largo Escote V Manga Corta Lino 100%Lino Made In Italy;50000
